hidden_layer_sizes,activation,learning_rate,lam,alpha,tol,batch_size,shuffle,max_iter,score
"[64, 64]",relu,0.1,0.0001,0.9,1e-05,32,False,3000,1.0908329720534105
"[32, 32]",relu,0.05,0.0001,0.7,1e-05,32,False,3000,1.0910222625432406
"[32, 32]",relu,0.03,0.0001,0.7,1e-05,64,True,3000,1.093702007707402
"[32, 32]",relu,0.1,0.0001,0.7,1e-05,32,False,3000,1.0939522274276885
"[32, 32]",relu,0.05,5e-05,0.7,1e-05,32,True,3000,1.0941950387167751
"[32, 32]",relu,0.05,5e-05,0.0,1e-05,64,True,3000,1.0944601027883811
"[64, 64]",relu,0.01,5e-05,0.9,1e-05,32,True,3000,1.0953102679601596
"[64, 64]",relu,0.05,5e-05,0.9,1e-05,32,True,3000,1.0958548202235132
"[64, 64]",relu,0.1,0.0001,0.9,1e-05,64,True,3000,1.096498527708547
"[64, 64]",relu,0.03,5e-05,0.9,1e-05,64,False,3000,1.09736110046322
"[32, 32]",relu,0.1,5e-05,0.9,1e-05,32,True,3000,1.0980146403079698
"[32, 32]",relu,0.05,0.0001,0.0,1e-05,32,True,3000,1.1006954644164697
"[32, 32]",relu,0.05,5e-05,0.0,1e-05,32,False,3000,1.1009091333572432
"[32, 32]",relu,0.1,0.0001,0.9,1e-05,32,False,3000,1.101337030295881
"[32, 32]",relu,0.05,5e-05,0.9,1e-05,64,True,3000,1.1013638645780797
"[32, 32]",relu,0.03,0.0001,0.9,1e-05,32,False,3000,1.102574839303746
"[32, 32]",relu,0.03,5e-05,0.9,1e-05,64,False,3000,1.1032693657275991
"[32, 32]",relu,0.05,0.0001,0.0,1e-05,64,False,3000,1.1033909700551725
"[64, 64]",relu,0.03,0.0001,0.7,1e-05,64,False,3000,1.1046401123137022
"[32, 32]",relu,0.1,0.0001,0.7,1e-05,64,False,3000,1.105057724295878
"[32, 32]",relu,0.03,5e-05,0.0,1e-05,32,False,3000,1.1067045093644778
"[64, 64]",relu,0.03,5e-05,0.7,1e-05,64,False,3000,1.1079253359823806
"[32, 32]",relu,0.03,0.0001,0.7,1e-05,64,False,3000,1.1086045286728072
